Court Type	Court	County	Prefix	First Name	Middle Name	Last Name	Suffix	Title	Address	City	Zip Code	Phone	Email	 
Municipal	Avinger	Cass		Position		Vacant		Presiding Judge	P O Box 356	Avinger	75630-0356	(903)562-1000	 cityofavinger@yahoo.com
County	County Clerk Office	Cass		Amy	L.	Varnell		Clerk	P O Box 449	Linden	75563-0449	(903)756-5071	
County	County Clerk Office	Castro	Ms.	JoAnna		Blanco		Clerk	100 E Bedford, Rm 101	Dimmitt	79027-2643	(806)647-3338	 jbclerk@castrocounty.org
District	District Clerk Office	Castro	Ms.	JoAnna		Blanco		Clerk	100 E Bedford, Rm 101	Dimmitt	79027-2643	(806)647-3338	 jbclerk@castrocounty.org
District	242nd District Court	Castro		Elsa		Carrera		Court Coordinator	225 Broadway, Ste 3	Plainview	79072-8050	(806)291-5254	 242ndcourt@halecounty.org
Justice of the Peace	Countywide	Castro		Mary	F.	Ewing		Judge	100 E Bedford, Room 201	Dimmitt	79027	(806)647-2328	
County	County Court	Castro		Mandy		Gfeller		Judge	100 E Bedford, Rm 111	Dimmitt	79027-2643	(806)647-4451	 vpacheco@castrocounty.org
County		Castro		Shalyn		Hamlin		Attorney	100 E Bedford, Rm 213	Dimmitt	79027-2643	(806)647-4445	
District	242nd District Court	Castro		Lowell	Kregg	Hukill		Judge	225 Broadway, Ste 3	Plainview	79072-8050	(806)291-5254	 242ndcourt@halecounty.org
Municipal	Dimmitt	Castro		Robert	B.	McLean	Jr.	Presiding Judge	P O Box 146	Dimmitt	79027-0146	(806)647-2155	
Municipal	Hart	Castro		Jerry	Fred	Miller		Presiding Judge	P O Box 329	Hart	79043-0329	(806)938-2171	 cityhart@amaonline.com
County	County Court	Castro		Veronica		Pacheco		Court Coordinator	100 E Bedford, Rm 111	Dimmitt	79027-2643	(806)647-4451	 vpacheco@castrocounty.org
District	242nd District Court	Castro		Brenda		Rohrs		Court Reporter	225 Broadway, Ste 3	Plainview	79072-8050	(806)291-5257	 242ndcourt@halecounty.org
District	64th District Court	Castro		Cynthia		Santos		Court Coordinator	225 Broadway, Ste 5	Plainview	79072-8050	(806)291-5234	 64thdistcourt@halecounty.org
District	64th District Court	Castro		Debra		Smith		Court Reporter	225 Broadway, Ste 5	Plainview	79072-8050	(806)291-5234	 64thdistcourt@halecounty.org
District	64th District Court	Castro		Danah	L.	Zirpoli		Judge	225 Broadway, Ste 5	Plainview	79072-8050	(806)291-5234	 64thdistcourt@halecounty.org
District	253rd District Court	Chambers		Chap	B.	Cain	III	Judge	407 S Main St	Anahuac	77514	(409)267-2750	 leticia.manning@co.liberty.tx.us
Municipal	Beach City	Chambers		Larry		Cryer		Presiding Judge	12723 FM 2354	Beach City	77523-0915	(281)383-3180	 city@beachcitytx.us
Municipal	Mont Belvieu	Chambers		Larry		Cryer		Presiding Judge	P O Box 1048	Mont Belvieu	77580-1048	(281)576-5018	 jgarcia@montbelvieu.net
Justice of the Peace	Precinct 6 Place 1	Chambers		Larry		Cryer		Judge	7711 Hwy 146	Baytown	77523	(281)383-3641	 justicecourt6@chamberstx.gov
Justice of the Peace	Precinct 1 Place 1	Chambers		Celia		Devillier		Judge	P O Box 332	Winnie	77665	(409)296-8247	
Municipal	Mont Belvieu	Chambers		Barry	Alan	Graves		Associate Judge	P O Box 1048	Mont Belvieu	77580-1048	(281)576-5018	 jgarcia@montbelvieu.net
Justice of the Peace	Precinct 5 Place 1	Chambers		David	S.	Hatfield		Judge	P O Box 2	Wallisville	77597-0002	(409)389-8232	 justicecourt5@chamberstx.gov
County	County Clerk Office	Chambers		Heather	H.	Hawthorne		Clerk	P O Box 728	Anahuac	77514-0728	(409)267-2421	
District	District Clerk Office	Chambers		Patti	L.	Henry		Clerk	P O Box NN	Anahuac	77514	(409)267-2432	 districtclerk@chamberstx.gov
District	344th District Court	Chambers		Lori		Hudgins		Court Reporter	P O Box 490	Anahuac	77514-0490	(409)267-2431	 thunt@chamberstx.gov
District	344th District Court	Chambers		Tonya		Hunt		Court Coordinator	P O Box 490	Anahuac	77514-0490	(409)267-2429	 thunt@chamberstx.gov
County		Chambers		Ashley	Cain	Land		Attorney	P O Box 1200	Anahuac	77514-0151	(409)267-2411	
County	County Court at Law	Chambers		Kate		Laskoskie		Court Reporter	P O Box 740	Anahuac	77514	(409)267-2465	 plsanders@chamberstx.gov
District	253rd District Court	Chambers		Jo Anne	Horn	Leger		Court Reporter	1923 Sam Houston, Rm 223	Liberty	77575-4800	(936)336-4668	 leticia.manning@co.liberty.tx.us
District		Chambers		Cheryl	Swope	Lieck		Attorney	P O Box 1409	Anahuac	77514-1409	(409)267-2680	
District		Chambers		John		Lockwood		Visiting Judge (local)					
District	253rd District Court	Chambers		Leticia		Manning		Court Coordinator	407 S Main St	Anahuac	77514	(409)267-2750	 leticia.manning@co.liberty.tx.us
District	344th District Court	Chambers		Randy	A.	McDonald		Judge	P O Box 490	Anahuac	77514-0490	(409)267-2429	 thunt@chamberstx.gov
Municipal	Old River-Winfree	Chambers		Richard		Park		Presiding Judge	P O Box 1169	Mont Belvieu	77580	(281)385-1735	 cityorw@aol.com
County	County Court at Law	Chambers		Cindy		Price		Judge	P O Box 740	Anahuac	77514	(409)267-2465	 plsanders@chamberstx.gov
Municipal	Old River-Winfree	Chambers		Raymond		Sanchez		Associate Judge	P O Box 1169	Mont Belvieu	77580	(281)385-1735	 cityorw@aol.com
County	County Court at Law	Chambers		Peyton		Sanders		Court Coordinator	P O Box 740	Anahuac	77514	(409)267-2465	 plsanders@chamberstx.gov
County	County Court	Chambers		Jimmy		Sylvia		Judge	P O Box 939	Anahuac	77514-0939	(409)267-2440	 jsylvia@chamberstx.gov
Justice of the Peace	Precinct 4 Place 1	Chambers		Blake	D.	Sylvia		Judge	P O Box 827	Mont Belvieu	77580	(409)267-2610	 justicecourt4@chamberstx.gov
County	County Court	Chambers		Lauren		VanDeventer		Court Coordinator	P O Box 939	Anahuac	77514-0939	(409)267-2440	 jsylvia@chamberstx.gov
Justice of the Peace	Precinct 2 Place 1	Chambers		Michael (Mike)		Wheat		Judge	P O Box 971	Anahuac	77514	(409)267-2521	 justicecourt2@chamberstx.gov
Municipal	Anahuac	Chambers		John	W.	Wilson		Presiding Judge	P O Drawer 578	Anahuac	77514	(409)267-6682	 k.broussard@anahuac.us
District	369th District Court	Cherokee		Nancy		Adams		Court Reporter	P O Box 516	Palestine	75802-0516	(903)723-7415	 leigh369@cocherokee.org
County	County Court at Law	Cherokee		Tena		Argenbright		Court Reporter	135 S Main St	Rusk	75785	(903)683-6497	 kkellerman@cocherokee.org
District		Cherokee		Elmer	C.	Beckworth	Jr.	Attorney	P O Box 450	Rusk	75785-0450	(903)683-2573	
Municipal	New Summerfield	Cherokee		James	Daniel	Connelly		Presiding Judge	P O Box 38	New Summerfield	75780-0038	(903)726-3651	 estela@newsummerfield.us
County	County Court	Cherokee		Peggy		Cornelius		Court Coordinator	135 S Main St	Rusk	75785	(903)683-2324	 cojudge@cocherokee.org
District	369th District Court	Cherokee		C. Michael		Davis		Judge	135 S Main	Rusk	75785	(903)683-9817	 leigh369@cocherokee.org
County	County Court	Cherokee		Chris		Davis		Judge	135 S Main St	Rusk	75785	(903)683-2324	 cojudge@cocherokee.org
District	2nd District Court	Cherokee		R.	Chris	Day		Judge	135 S Main, 2nd Fl	Rusk	75785	(903)683-2236	 distcrt2nd@cocherokee.org
Municipal	Bullard	Cherokee		Frank	Glenn	Dobrovolny		Presiding Judge	P O Box 107	Bullard	75757	(903)894-7263	 court@bullardtexas.net
Justice of the Peace	Precinct 1 Place 1	Cherokee		Brenda	Lorene	Dominy		Judge	Rt 5, Box 275	Rusk	75785	(903)683-4663	 ccjp1@cocherokee.org
District	District Clerk Office	Cherokee		Alison		Dotson		Clerk	135 S Main, 2nd Fl	Rusk	75785-0505	(903)683-4533	 alison.dc@cocherokee.org
Municipal	Bullard	Cherokee		Diana		Folmar		Associate Judge	P O Box 107	Bullard	75757	(903)894-7263	 court@bullardtexas.net
District	2nd District Court	Cherokee		Susana		Galvan		Court Reporter	135 S Main, 2nd Fl	Rusk	75785	(903)683-2236	 distcrt2nd@cocherokee.org
Justice of the Peace	Precinct 3 Place 1	Cherokee		Phillip	Wayne	Grimes		Judge	207 S Patton St	Jacksonville	75766	(903)586-9161	 ccjp3@cocherokee.org
Justice of the Peace	Precinct 2 Place 1	Cherokee		Amber	Lusk	Hood		Judge	P O Box 553	Alto	75925-0553	(936)858-4732	 ccjp2clerk@cocherokee.org
County	County Court at Law	Cherokee		Karla		Kellerman		Court Coordinator	135 S Main St	Rusk	75785	(903)683-6497	 kkellerman@cocherokee.org
District	2nd District Court	Cherokee		Leslie		Lankford		Court Coordinator	135 S Main, 2nd Fl	Rusk	75785	(903)683-2236	 distcrt2nd@cocherokee.org
County	County Clerk Office	Cherokee	Ms.	Laverne		Lusk		Clerk	P O Box 420	Rusk	75785	(903)683-2350	 coclerk@cocherokee.org
Municipal	Bullard	Cherokee		Paul	J.	Mascot		Associate Judge	P O Box 107	Bullard	75757	(903)894-7263	 court@bullardtexas.net
Municipal	Jacksonville	Cherokee		Paul	J.	Mascot		Presiding Judge	P O Box 1390	Jacksonville	75766-1390	(903)586-7111	
Municipal	Alto	Cherokee		Forrest	K.	Phifer		Presiding Judge	P O Box 447	Alto	75925	(936)858-3336	 altomc@consolidated.net
Municipal	Cuney	Cherokee		Forrest	K.	Phifer		Presiding Judge	P O Box 155	Cuney	75759-0155	(903)876-4399	 cuneymunicipalcourt@embarqmail.com
Municipal	Rusk	Cherokee		Forrest	K.	Phifer		Presiding Judge	197 S Main	Rusk	75785	(903)683-6978	 court@rusktx.org
Municipal	Wells	Cherokee		Forrest	K.	Phifer		Presiding Judge	P O Box 20	Wells	75976-0020	(936)867-0089	 wellsmuncourt@consolidated.net
County	County Court at Law	Cherokee		Janice	C.	Stone		Judge	135 S Main St	Rusk	75785	(903)683-6497	 kkellerman@cocherokee.org
Justice of the Peace	Precinct 4 Place 1	Cherokee		Rodney	P.	Wallace		Judge	171 FM 235 E	New Summerfield	78780	(903)726-3413	 ccjp4clerk@cocherokee.org
District	369th District Court	Cherokee		Leigh	B.	Yancey		Court Coordinator	135 S Main	Rusk	75785	(903)683-9817	 leigh369@cocherokee.org
County		Cherokee		Dana		Young		Attorney	135 S Main St	Rusk	75785	(903)683-2423	
District	100th District Court	Childress		Tammy		Brinson		Court Coordinator	P O Box 887	Clarendon	79226-0887	(806)874-0122	 tammybrinson100@hotmail.com
County		Childress		Greg		Buckley		Attorney	100 Ave E NW, Box 3	Childress	79201	(940)937-6158	
Justice of the Peace	Countywide	Childress		Melissa	K.	Harper		Judge	100 Ave E NW, Box 6	Childress	79201	(940)937-6145	 jp@childresstx.us
County	County Court	Childress		Lacie		Jones		Court Coordinator	100 Ave E NW, Box 1	Childress	79201	(940)937-2221	 lacie.jones@childresstx.us
County	County Court	Childress		Kimberly	R.	Jones		Judge	100 Ave E NW, Box 1	Childress	79201	(940)937-2221	 lacie.jones@childresstx.us
District	100th District Court	Childress		Dale	A.	Rabe		Judge	P O Box 887	Clarendon	79226-0887	(806)874-0122	 tammybrinson100@hotmail.com
Municipal	Childress	Childress		Carter		Reed		Presiding Judge	P O Box 1087	Childress	79201	(940)937-6943	 judgecpreed@yahoo.com
County	County Clerk Office	Childress	Ms.	Barbara		Spitzer		Clerk	100 Ave E NW, Box 4	Childress	79201-0087	(940)937-6143	 districtclerk@childresstx.us
District	District Clerk Office	Childress	Ms.	Barbara		Spitzer		Clerk	100 Ave E NW, Box 4	Childress	79201-0887	(940)937-6143	 districtclerk@childresstx.us
District	100th District Court	Childress		Position		Vacant		Court Reporter	P O Box 887	Clarendon	79226-0887	(806)874-0122	 tammybrinson100@hotmail.com
District	District Clerk Office	Clay		Marianne		Bowles		Clerk	P O Box 568	Henrietta	76365-0568	(940)538-4561	 district.clerk@claycountytx.com
District	97th District Court	Clay		Trish	Coleman	Byars		Judge	P O Box 167	Montague	76251-0167	(940)894-2066	 97thcoordinator@gmail.com
County	County Court	Clay		Mike		Campbell		Judge	214 N Main	Henrietta	76365-2898	(940)538-4651	 Becky.Mataska@co.clay.tx.us
District	97th District Court	Clay		Mary		Cantrell		Court Reporter	P O Box 167	Montague	76251-0167	(940)894-2066	 97thcoordinator@gmail.com
District	97th District Court	Clay		Amanda		Cunningham		Court Coordinator	P O Box 167	Montague	76251-0167	(940)894-2066	 97thcoordinator@gmail.com
Justice of the Peace	Countywide	Clay		Lanny	Ray	Evans		Judge	214 N Main	Henrietta	76365-0071	(940)538-6531	 JPCourt@co.clay.tx.us
Municipal	Henrietta	Clay		Lanny	Ray	Evans		Presiding Judge	P O Box 71	Henrietta	76365-2020	(940)538-6531	 john.swenson@claycountytx.com
Municipal	Henrietta	Clay		Jim	F.	Humphrey		Associate Judge	P O Box 71	Henrietta	76365-2020	(940)538-6531	 john.swenson@claycountytx.com
County	County Clerk Office	Clay	Ms.	Sasha		Kelton		Clerk	P O Box 548	Henrietta	76365-0548	(940)538-4631	 ccclerk@claycountytx.com
County		Clay		Seth	Clayton	Slagle		Attorney	115 S Main	Henrietta	76365	(940)538-6677	
		Clay		Paige		Williams		Attorney	P O Box 55	Montague	76251-0055	(940)894-6211	
District	286th District Court	Cochran		Savannah	T.	Cavezuela		Court Coordinator	802 Houston St, Ste 315	Levelland	79336-4545	(806)894-8240	 scavezuela@hockleycounty.org
District	286th District Court	Cochran		Myra		Chapa		Court Reporter	802 Houston St, Ste 315	Levelland	79336-4545	(806)894-8240	 scavezuela@hockleycounty.org
County	County Court	Cochran		Pat	S.	Henry		Judge	100 N Main, Rm 105	Morton	79346-2500	(806)266-5508	 pshenry@co.cochran.tx.us
County		Cochran		Amanda		Martin		Attorney	100 N Main, Rm 204	Morton	79346-2536	(806)266-5582	
Municipal	Morton	Cochran		Veronica	R.	Olguin		Presiding Judge	201 E Wilson	Morton	79346-2699	(806)266-8850	 morton@crosswind.net
District		Cochran		Angela	L.	Overman		Attorney	802 Houston St, Ste 212	Levelland	79336-4545	(806)894-3130	
District	286th District Court	Cochran		Jay	Michael (Pat)	Phelan		Judge	802 Houston St, Ste 315	Levelland	79336-4545	(806)894-8240	 scavezuela@hockleycounty.org
Justice of the Peace	Countywide	Cochran		Donna		Schmidt		Judge	100 N Main, Rm B-4	Morton	79346-2598	(806)266-5302	 dschmidt@co.cochran.tx.us
County	County Clerk Office	Cochran	Ms.	Lisa		Smith		Clerk	100 N Main, Rm 102	Morton	79346-2500	(806)266-5450	
District	District Clerk Office	Cochran	Ms.	Lisa		Smith		Clerk	100 N Main, Rm 102	Morton	79346-2500	(806)266-5450	
County		Coke		Nicholas		Arrott	II	Attorney	P O Box 55	Robert Lee	76945	(325)453-2712 - ext. 0055      	
Municipal	Robert Lee	Coke		Carlene		Bounds		Presiding Judge	P O Box 26	Robert Lee	76945-0026	(325)453-2831	 robertleetexas@wcc.net
County	County Clerk Office	Coke		Jennifer		Burdett		Clerk	13 E 7th	Robert Lee	76945-5077	(325)453-2631	 jennifer.burdett@co.coke.tx.us
District	District Clerk Office	Coke		Jennifer		Burdett		Clerk	13 E 7th	Robert Lee	76945-5077	(325)453-2631	 jennifer.burdett@co.coke.tx.us
District	51st District Court	Coke		Carmen	Symes	Dusek		Judge	112 W Beauregard	San Angelo	76903-5835	(325)657-8011	 renea.patterson@co.tom-green.tx.us
Municipal	Bronte	Coke		Allen	Cecil	Gilbert		Presiding Judge	P O Box 370	Bronte	76933	(325)473-3501	 brontetx@wcc.net
District		Coke		Irene		Jackson		Court Coordinator					
Justice of the Peace	Precinct 1	Coke		Russell		Johnson		Judge	224 W Main St	Bronte	76933	(325)473-2323	 russell.johnson@co.coke.tx.us
District		Coke		Allison		Palmer		Attorney	124 W Beauregard, Ste B	San Angelo	76903-5850	(325)659-6584	
District	51st District Court	Coke		Renea		Patterson		Court Coordinator	112 W Beauregard	San Angelo	76903-5835	(325)657-8011	 renea.patterson@co.tom-green.tx.us
County	County Court	Coke		Hal		Spain		Judge	13 E 7th	Robert Lee	76945-5077	(325)453-2641	 judge.admin@co.coke.tx.us
District	51st District Court	Coke		Cindy		Wilde		Court Reporter	112 W Beauregard	San Angelo	76903-5835	(325)659-6574	 renea.patterson@co.tom-green.tx.us
County	County Court	Coleman		Billy	D.	Bledsoe		Judge	100 W Live Oak St, Ste 102	Coleman	76834-3533	(325)625-4218	 county.judge@yahoo.com
District	42nd District Court	Coleman		James		Eidson		Judge	300 Oak St, Ste 401	Abilene	79602-1521	(325)674-1314	 quinney@taylorcountytexas.org
District		Coleman		Heath		Hemphill		Attorney	P O Box 855	Coleman	76834-0835	(325)625-1316	
District	District Clerk Office	Coleman	Ms.	Darlene		Huddle-Boyd		Clerk	100 W Live Oak St, Ste 201	Coleman	76834-3533	(325)625-2568	
Justice of the Peace	Countywide	Coleman		Vickie	Sue	Kemp		Judge	100 W Live Oak St, Ste 103	Coleman	76834-3533	(325)625-4223	 justice@co.coleman.tx.us
Municipal	Coleman	Coleman		Amanda	K.	Lishka		Associate Judge	P O Box 592	Coleman	76834-0592	(325)625-4116	 court@cityofcolemantx.us
County	County Clerk Office	Coleman		Stacey		Mendoza		Clerk	100 W Live Oak St, Ste 105	Coleman	76834-3532	(325)625-2889	 cclerk@co.coleman.tx.us
Municipal	Coleman	Coleman		Jay	L.	Moses		Presiding Judge	P O Box 592	Coleman	76834-0592	(325)625-4116	 court@cityofcolemantx.us
District	42nd District Court	Coleman		Teri		Nichols		Court Reporter	300 Oak St	Abilene	79602-1521	(325)674-1258	 quinney@taylorcountytexas.org
District	42nd District Court	Coleman		Darla		Quinney		Court Coordinator	300 Oak St, Ste 401	Abilene	79602-1521	(325)674-1314	 quinney@taylorcountytexas.org
Municipal	Santa Anna	Coleman		Shirley	Jane	Rankin		Presiding Judge	709 Wallis Ave	Santa Anna	76878-0249	(325)348-3176	 sacourt@web-access.net
County		Coleman		Hayden		Wise		Attorney	112 W Liveoak St	Coleman	76834	(325)625-3731	
County	County Court at Law No. 6	Collin		Stephanie		Ables		Court Coordinator	2100 Bloomdale Rd, Ste 30354	McKinney	75071	(972)547-1850	 sables@collincountytx.gov
Municipal	Frisco	Collin		Anthonette		Ayitey-Adjin		Associate Judge	8450 Moore St	Frisco	75034	(972)292-5555	 mfreeman@friscotexas.gov
District	429th District Court	Collin		Cindy		Bardwell		Court Reporter	2100 Bloomdale Rd, Ste 10014	McKinney	75071	(972)547-5723	 429@collincountytx.gov
Municipal	Plano	Collin		Gwen	A.	Baumann		Associate Judge	P O Box 860828	Plano	75086-0828	(972)941-2199	 court@plano.gov
County	County Court at Law No. 3	Collin		Lance	S.	Baxter		Judge	2100 Bloomdale Rd, Ste 10256	McKinney	75071	(972)548-3695	
District	366th District Court	Collin		Misty		Beaty		Court Coordinator	2100 Bloomdale Rd, Ste 30146	McKinney	75071	(972)548-4570	 366@co.collin.tx.us
District	429th District Court	Collin		Lori		Belyus		Court Coordinator	2100 Bloomdale Rd, Ste 10014	McKinney	75071	(972)547-5720	 429@collincountytx.gov
County	County Court at Law No. 6	Collin		Jay	A.	Bender		Judge	2100 Bloomdale Rd, Ste 30354	McKinney	75071	(972)547-1850	 sables@collincountytx.gov
District	468th District Court	Collin		Robin		Benton		Court Reporter	2100 Bloomdale Rd, Ste 20276	McKinney	75071	(972)547-7260	 468@collincountytx.gov
District	417th District Court	Collin		Katherine		Bounds		Court Reporter	2100 Bloomdale Rd, Ste 30290	McKinney	75071	(972)548-4274	
District	471st District Court	Collin		Andrea	K.	Bouressa		Judge	2100 Bloomdale Rd	McKinney	75071	(972)548-1800	 471@co.collin.tx.us
District		Collin		Lisa		Bronchetti	(Criminal)	Magistrate	4300 Community Ave, Ste B1107	McKinney	75071	(972)547-5485	
District	380th District Court	Collin		Amy		Cabala		Court Coordinator	2100 Bloomdale Rd, Ste 30132	McKinney	75071	(972)548-4762	 380@co.collin.tx.us
District		Collin		Leland		Caldwell	(Criminal)	Magistrate					
Municipal	Murphy	Collin		Cass	Robert	Callaway		Presiding Judge	206 N Murphy Rd	Murphy	75094-3512	(972)468-4250	 courts@murphytx.org
County	County Court at Law No. 5	Collin		Crystal		Cannon		Court Reporter	2100 Bloomdale Rd, Ste 20382	McKinney	75071	(972)548-3854	 tcaton@co.collin.tx.us
District	471st District Court	Collin		Denise		Carillo		Court Reporter	2100 Bloomdale Rd, Ste 30276	McKinney	75071	(972)548-1803	 471@co.collin.tx.us
Municipal	McKinney	Collin		Candace		Carlsen		Associate Judge	130 S Chestnut	McKinney	75069	(972)547-7676	 contact-courts@mckinneytexas.org
Municipal	Fairview	Collin		Christopher	R.	Castro		Associate Judge	372 Town Place	Fairview	75069	(972)886-4240	 tjordan@fairviewtexas.org
Municipal	Lucas	Collin		Christopher	R.	Castro		Associate Judge	665 Country Club Rd	Lucas	75002-7663	(972)912-1211	 shenderson@lucastexas.us
County	County Court at Law No. 5	Collin		Twyla		Caton		Court Coordinator	2100 Bloomdale Rd, Ste 20382	McKinney	75071	(972)548-3850	 tcaton@co.collin.tx.us
County	County Court at Law No. 4	Collin		Denise		Condran		Court Reporter	2100 Bloomdale Rd, Ste 10374	McKinney	75071	(972)548-3847	
County	Probate Court No. 1	Collin		Weldon	S.	Copeland	Jr.	Judge	2100 Bloomdale Rd, Ste 12368	McKinney	75071	(972)548-3811	 smcdonald-willey@co.collin.tx.us
County	County Court at Law No. 7	Collin		Amy		Cundiff		Court Coordinator	2100 Bloomdale Rd, Ste 30372	McKinney	75071	(972)548-5680	
Municipal	Allen	Collin		Terri		Daniel		Associate Judge	301 Century Parkway	Allen	75013	(214)509-4380	 fallen@cityofallen.org
Municipal	Blue Ridge	Collin		Terry	A.	Douglas		Presiding Judge	200 S Main	Blue Ridge	75424-4401	(972)752-5791	 blueridgecourt@blueridgecity.com
Municipal	Farmersville	Collin		Terry	L.	Douglas		Presiding Judge	205 S Main St	Farmersville	75442	(972)782-8848	 court@farmersvilletx.com
Municipal	Josephine	Collin		Terry	L.	Douglas		Presiding Judge	P O Box 99	Josephine	75164-0099	(972)843-8060	 kshields@cityofjosephinetx.com
District	296th District Court	Collin		Jan		Dugger		Court Reporter	2100 Bloomdale Rd, Ste 20012	McKinney	75071	(972)548-4407	 296@co.collin.tx.us
District	219th District Court	Collin		Jennifer	Duncan	Edgeworth		Judge	2100 Bloomdale Rd, Ste 20132	McKinney	75071-8318	(972)548-4662	 219@collincountytx.gov
District	470th District Court	Collin		Tanner		Feast		Court Reporter	2100 Bloomdale Rd, Ste 20146	McKinney	75071	(972)548-5673	 470@co.collin.tx.us
Municipal	Frisco	Collin		Stephen	Eugene	Feil		Associate Judge	8450 Moore St	Frisco	75034	(972)292-5555	 mfreeman@friscotexas.gov
Municipal	Wylie	Collin		Stephen	Eugene	Feil		Associate Judge	2000 N Highway 78	Wylie	75098-6043	(972)429-8080	 court@wylietexas.gov
District	401st District Court	Collin		George	B.	Flint		Judge	2100 Bloomdale Rd, Ste 30030	McKinney	75071	(972)548-4241	 tlsharkey@co.collin.tx.us
District	470th District Court	Collin		Brook		Fulks		Judge	2100 Bloomdale Rd, 2nd Fl	McKinney	75071	(972)548-5670	 470@co.collin.tx.us
County	County Court at Law No. 7	Collin		Shawn		Gant		Court Reporter	2100 Bloomdale Rd, Ste 30372	McKinney	75071	(972)548-5680	
District	District Clerk Office	Collin		Michael		Gould		Clerk	2100 Bloomdale Rd, Ste 12132	McKinney	75071	(972)548-4320	
Municipal	Plano	Collin		Esther	A.	Grossman		Associate Judge	P O Box 860828	Plano	75086-0828	(972)941-2199	 court@plano.gov
District	471st District Court	Collin		Todd		Hill		Court Coordinator	2100 Bloomdale Rd	McKinney	75071	(972)548-1800	 471@co.collin.tx.us
County	County Court	Collin		Christopher	T.	Hill		Judge	2300 Bloomdale Rd, Ste 4192	McKinney	75071-8517	(972)548-4631	
Municipal	Fairview	Collin		Dana	D.	Huffman		Presiding Judge	372 Town Place	Fairview	75069	(972)886-4240	 tjordan@fairviewtexas.org
Municipal	Lucas	Collin		Dana	D.	Huffman		Presiding Judge	665 Country Club Rd	Lucas	75002-7663	(972)912-1211	 shenderson@lucastexas.us
Municipal	Murphy	Collin		Dana	D.	Huffman		Associate Judge	206 N Murphy Rd	Murphy	75094-3512	(972)468-4250	 courts@murphytx.org
Municipal	Princeton	Collin		Dana	D.	Huffman		Presiding Judge	2000 E Princeton Dr	Princeton	75407-0970	(972)736-2416	 falvarez@princetontx.us
District	469th District Court	Collin		Stephanie		Hunn		Court Reporter	2100 Bloomdale Rd, Ste 30014	McKinney	75071	(972)548-5663	 469@collincountytx.gov
District	416th District Court	Collin		Steven		Janway		Court Coordinator	2100 Bloomdale Rd, Ste 20030	McKinney	75071	(972)548-4520	 sjanway@collincountytx.gov
County	County Court at Law No. 5	Collin		WM (Randy)	Randell	Johnson		Judge	2100 Bloomdale Rd, Ste 20382	McKinney	75071	(972)548-3850	 tcaton@co.collin.tx.us
Municipal	Plano	Collin		Aaron	Samuel	Kaufman		Associate Judge	P O Box 860828	Plano	75086-0828	(972)941-2199	 court@plano.gov
County	County Clerk Office	Collin		Stacey		Kemp		Clerk	2100 Bloomdale Rd, Ste 12165	McKinney	75071	(972)548-4185	 ctyclerks@collincountytx.gov
Municipal	Plano	Collin		Christopher	S.	Kilgore		Associate Judge	P O Box 860828	Plano	75086-0828	(972)941-2199	 court@plano.gov
District	380th District Court	Collin		Karla		Kimbrell		Court Reporter	2100 Bloomdale Rd, Ste 30132	McKinney	75071	(972)548-4661 - ext. 4762      	 380@co.collin.tx.us
District	296th District Court	Collin		Charla		Kiser		Court Coordinator	2100 Bloomdale Rd, Ste 20012	McKinney	75071	(972)548-4409 - ext. 4409      	 296@co.collin.tx.us
Municipal	Plano	Collin		Kimberly	R.	Lafferty		Associate Judge	P O Box 860828	Plano	75086-0828	(972)941-2199	 court@plano.gov
District	219th District Court	Collin		Tanya		Lebo		Court Reporter	2100 Bloomdale Rd, Ste 20132	McKinney	75071	(972)548-4405	 219@collincountytx.gov
Municipal	Plano	Collin		Mark		Ledbetter		Associate Judge	P O Box 860828	Plano	75086-0828	(972)941-2199	 court@plano.gov
Municipal	Lavon	Collin		Andrew	Drake	Leonie	III	Presiding Judge	P O Box 340	Lavon	75166	(972)843-4219	 sjohnson@lavontx.gov
Municipal	Anna	Collin		Paul	Joseph	Liston		Presiding Judge	P O Box 776	Anna	75409	(972)924-3325	 ngarcia@annatexas.gov
Municipal	Fairview	Collin		Pamela	Harrell	Liston		Associate Judge	372 Town Place	Fairview	75069	(972)886-4240	 tjordan@fairviewtexas.org
Municipal	Fairview	Collin		Paul	Joseph	Liston		Associate Judge	372 Town Place	Fairview	75069	(972)886-4240	 tjordan@fairviewtexas.org
Municipal	Princeton	Collin		Ruth	Catherine	Logan		Associate Judge	2000 E Princeton Dr	Princeton	75407-0970	(972)736-2416	 falvarez@princetontx.us
District	199th District Court	Collin		Jacqueline		Love-Kimbrough		Court Reporter	2100 Bloomdale Rd, Ste 10030	McKinney	75071-8318	(972)548-4412 - ext.           	 199@collincountytx.gov
Municipal	Celina	Collin		Art		Maldonado		Presiding Judge	142 N Ohio St	Celina	75009	(972)382-2962	 court@celina-tx.gov
Municipal	Frisco	Collin		Art		Maldonado		Presiding Judge	8450 Moore St	Frisco	75034	(972)292-5555	 mfreeman@friscotexas.gov
Municipal	Wylie	Collin		Art		Maldonado		Presiding Judge	2000 N Highway 78	Wylie	75098-6043	(972)429-8080	 court@wylietexas.gov
District	417th District Court	Collin		Angel		Marksberry		Court Coordinator	2100 Bloomdale Rd, Ste 30290	McKinney	75071	(972)548-4658	
